PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Usman, A; Ozturk, I; Hassan, A; Zafar, SM; Ullah, S				Usman, Ahmed; Ozturk, Ilhan; Hassan, Ali; Zafar, Syeda Maria; Ullah, Sana			The effect of ICT on energy consumption and economic growth in South Asian economies: An empirical analysis	TELEMATICS AND INFORMATICS				Article									[Usman, Ahmed] Govt Coll Univ Faisalabad, Dept Econ, Faisalabad, Pakistan; [Ozturk, Ilhan] Cag Univ, Fac Econ & Adm Sci, TR-33800 Mersin, Turkey; [Ozturk, Ilhan] China Med Univ, China Med Univ Hosp, Dept Med Res, Taichung, Taiwan; [Hassan, Ali] Islamia Univ Bahawalpur, Dept Media Studies, Bahawalpur, Pakistan; [Zafar, Syeda Maria] NUST Islamabad, Inst Geog Informat Syst, Sch Civil & Environm Engn, Islamabad, Pakistan; [Ullah, Sana] Quaid I Azam Univ, Sch Econ, Islamabad, Pakistan; [Ozturk, Ilhan] Asia Univ, Dept Finance, 500 Lioufeng Rd, Taichung 41354, Taiwan		Ozturk, I (通讯作者)，Cag Univ, Fac Econ & Adm Sci, TR-33800 Mersin, Turkey.	ilhanozturk@cag.edu.tr								101	100											MAY	2021	58								101537	10.1016/j.tele.2020.101537	http://dx.doi.org/10.1016/j.tele.2020.101537													
J	Estevinho, BN; Rocha, F; Santos, L; Alves, A				Estevinho, Berta Nogueiro; Rocha, Fernando; Santos, Lucia; Alves, Arminda			Microencapsulation with chitosan by spray drying for industry applications A review	TRENDS IN FOOD SCIENCE & TECHNOLOGY				Review									[Estevinho, Berta Nogueiro; Rocha, Fernando; Santos, Lucia; Alves, Arminda] Univ Porto, Fac Engn, LEPAE, P-4200465 Oporto, Portugal		Estevinho, BN (通讯作者)，Univ Porto, Fac Engn, LEPAE, Rua Dr Roberto Frias, P-4200465 Oporto, Portugal.	berta@fe.up.pt								210	215											JUN	2013	31	2					138	155		10.1016/j.tifs.2013.04.001	http://dx.doi.org/10.1016/j.tifs.2013.04.001													
J	Jun, SP; Yoo, HS; Choi, S				Jun, Seung-Pyo; Yoo, Hyoung Sun; Choi, San			Ten years of research change using Google Trends: From the perspective of big data utilizations and applications	TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE				Article									[Jun, Seung-Pyo; Yoo, Hyoung Sun; Choi, San] Korea Inst Sci & Technol Informat, Technol Commercializat Anal Ctr, 66 Hoegi Ro, Seoul 130741, South Korea; [Jun, Seung-Pyo; Yoo, Hyoung Sun; Choi, San] Univ Sci & Technol, Sci & Technol Management & Policy, 66 Hoegi Ro, Seoul 130741, South Korea		Jun, SP (通讯作者)，Korea Inst Sci & Technol Informat, Technol Commercializat Anal Ctr, 66 Hoegi Ro, Seoul 130741, South Korea.; Jun, SP (通讯作者)，Univ Sci & Technol, Sci & Technol Management & Policy, 66 Hoegi Ro, Seoul 130741, South Korea.	spjun@kisti.re.kr; hsyoo@kisti.re.kr; soullives83@kisti.re.kr								148	151											MAY	2018	130						69	87		10.1016/j.techfore.2017.11.009	http://dx.doi.org/10.1016/j.techfore.2017.11.009													
J	Hohenberger, C; Sporrle, M; Welpe, IM				Hohenberger, Christoph; Spoerrle, Matthias; Welpe, Isabell M.			How and why do men and women differ in their willingness to use automated cars? The influence of emotions across different age groups	TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE				Article									[Hohenberger, Christoph; Welpe, Isabell M.] Tech Univ Munich, Sch Management, Chair Strategy & Org, Munich, Germany; [Spoerrle, Matthias] Private Univ Seeburg Castle, Seekirchen Am Wallersee, Austria; [Hohenberger, Christoph] MCTS, Munich, Germany; [Welpe, Isabell M.] Bavarian State Inst Higher Educ Res & Planning, Munich, Germany		Hohenberger, C (通讯作者)，Chair Strategy & Org, Arcisstr 21, D-80333 Munich, Germany.	c.hohenberger@tum.de								158	159											DEC	2016	94						374	385		10.1016/j.tra.2016.09.022	http://dx.doi.org/10.1016/j.tra.2016.09.022													
J	Zhao, E; Stone, MR; Ren, X; Guenthoer, J; Smythe, KS; Pulliam, T; Williams, SR; Uytingco, CR; Taylor, SEB; Nghiem, P; Bielas, JH; Gottardo, R				Zhao, Edward; Stone, Matthew R.; Ren, Xing; Guenthoer, Jamie; Smythe, Kimberly S.; Pulliam, Thomas; Williams, Stephen R.; Uytingco, Cedric R.; Taylor, Sarah E. B.; Nghiem, Paul; Bielas, Jason H.; Gottardo, Raphael			Spatial transcriptomics at subspot resolution with BayesSpace	NATURE BIOTECHNOLOGY				Article									[Zhao, Edward; Ren, Xing; Gottardo, Raphael] Fred Hutchinson Canc Res Ctr, Vaccine & Infect Dis Div, 1124 Columbia St, Seattle, WA 98104 USA; [Zhao, Edward; Gottardo, Raphael] Univ Washington, Dept Biostat, Seattle, WA 98195 USA; [Stone, Matthew R.; Bielas, Jason H.] Fred Hutchinson Canc Res Ctr, Fred Hutch Innovat Lab, Immunotherapy Integrated Res Ctr, 1124 Columbia St, Seattle, WA 98104 USA; [Guenthoer, Jamie] Fred Hutchinson Canc Res Ctr, Human Biol Div, 1124 Columbia St, Seattle, WA 98104 USA; [Smythe, Kimberly S.; Nghiem, Paul] Fred Hutchinson Canc Res Ctr, Clin Res Div, 1124 Columbia St, Seattle, WA 98104 USA; [Pulliam, Thomas; Nghiem, Paul] Univ Washington, Dept Med, Div Dermatol, Seattle, WA USA; [Williams, Stephen R.; Uytingco, Cedric R.; Taylor, Sarah E. B.] 10x Genom, Pleasanton, CA USA; [Nghiem, Paul] Seattle Canc Care Alliance, Seattle, WA USA; [Bielas, Jason H.] Fred Hutchinson Canc Res Ctr, Publ Hlth Sci Div, Translat Res Program, 1124 Columbia St, Seattle, WA 98104 USA; [Bielas, Jason H.] Univ Washington, Dept Pathol, Seattle, WA 98195 USA		Gottardo, R (通讯作者)，Fred Hutchinson Canc Res Ctr, Vaccine & Infect Dis Div, 1124 Columbia St, Seattle, WA 98104 USA.; Gottardo, R (通讯作者)，Univ Washington, Dept Biostat, Seattle, WA 98195 USA.	rgottard@fredhutch.org								50	50											NOV	2021	39	11					1375	+		10.1038/s41587-021-00935-2	http://dx.doi.org/10.1038/s41587-021-00935-2		JUN 2021											
J	Ma, LL; Wang, Q; Zheng, YY; Guo, J; Yuan, SZ; Fu, AZ; Bai, CM; Zhao, XY; Zheng, SF; Wen, CL; Guo, SG; Gao, LP; Grierson, D; Zuo, JH; Xu, Y				Ma, Lili; Wang, Qing; Zheng, Yanyan; Guo, Jing; Yuan, Shuzhi; Fu, Anzhen; Bai, Chunmei; Zhao, Xiaoyan; Zheng, Shufang; Wen, Changlong; Guo, Shaogui; Gao, Lipu; Grierson, Donald; Zuo, Jinhua; Xu, Yong			Cucurbitaceae genome evolution, gene function, and molecular breeding	HORTICULTURE RESEARCH				Review									[Ma, Lili; Wang, Qing; Zheng, Yanyan; Yuan, Shuzhi; Fu, Anzhen; Bai, Chunmei; Zhao, Xiaoyan; Zheng, Shufang; Wen, Changlong; Guo, Shaogui; Gao, Lipu; Zuo, Jinhua; Xu, Yong] Beijing Acad Agr & Forestry Sci, Beijing Vegetable Res Ctr,Key Lab Biol & Genet Im, Inst Agroprod Proc & Food Nutr,Beijing Key Lab Fr, Key Lab Vegetable Postharvest Proc,Minist Agr,Key, Beijing 100097, Peoples R China; [Ma, Lili] China Agr Univ, Coll Food Sci & Nutr Engn, Dept Food Biotechnol, Beijing 100083, Peoples R China; [Guo, Jing] Fudan Univ, Key Lab Biodivers Sci & Ecol Engn, Minist Educ, 2005 Songhu Rd, Shanghai 200438, Peoples R China; [Guo, Jing] Fudan Univ, State Key Lab Genet Engn, Inst Biodivers Sci, 2005 Songhu Rd, Shanghai 200438, Peoples R China; [Guo, Jing] Fudan Univ, Inst Plant Biol, Sch Life Sci, 2005 Songhu Rd, Shanghai 200438, Peoples R China; [Grierson, Donald] Univ Nottingham, Sch Biosci, Sutton Bonington Campus, Loughborough LE12 5RD, Leics, England		Zuo, JH; Xu, Y (通讯作者)，Beijing Acad Agr & Forestry Sci, Beijing Vegetable Res Ctr,Key Lab Biol & Genet Im, Inst Agroprod Proc & Food Nutr,Beijing Key Lab Fr, Key Lab Vegetable Postharvest Proc,Minist Agr,Key, Beijing 100097, Peoples R China.; Grierson, D (通讯作者)，Univ Nottingham, Sch Biosci, Sutton Bonington Campus, Loughborough LE12 5RD, Leics, England.	donald.grierson@nottingham.ac.uk; zuojinhua@126.com; xuyong@nercv.org								9	9											JAN 5	2022	9								uhab057	10.1093/hr/uhab057	http://dx.doi.org/10.1093/hr/uhab057													
J	Renaud, JP; Chung, CW; Danielson, UH; Egner, U; Hennig, M; Hubbard, RE; Nar, H				Renaud, Jean-Paul; Chung, Chun-wa; Danielson, U. Helena; Egner, Ursula; Hennig, Michael; Hubbard, Roderick E.; Nar, Herbert			Biophysics in drug discovery: impact, challenges and opportunities	NATURE REVIEWS DRUG DISCOVERY				Review									[Renaud, Jean-Paul] NovAliX, Blvd Sebastien Brant, F-67405 Illkirch Graffenstaden, France; [Renaud, Jean-Paul] Univ Strasbourg, Inst Genet & Biol Mol & Cellulaire, CNRS UMR7104, INSERM U964, 1 Rue Laurent Fries,BP10142, F-67404 Illkirch Graffenstaden, France; [Renaud, Jean-Paul] RiboStruct, 15 Rue Neuve, F-67540 Ostwald, France; [Chung, Chun-wa] GlaxoSmithKline R&D, Gunnels Wood Rd, Stevenage SG1 2NY, Herts, England; [Danielson, U. Helena] Uppsala Univ, Dept Chem BMC, BMC & Sci Life Lab, SE-75105 Uppsala, Sweden; [Danielson, U. Helena] Uppsala Univ, Sci Life Lab, Drug Discovery & Dev Platform, SE-75105 Uppsala, Sweden; [Danielson, U. Helena] Beact AB, Uppsala Business Pk, S-75450 Uppsala, Sweden; [Egner, Ursula] Bayer Pharma AG, Mullerstr 178, D-13353 Berlin, Germany; [Hennig, Michael] Hoffmann La Roche Ltd, Grenzacherstr 124, CH-4070 Basel, Switzerland; [Hennig, Michael] LeadXpro AC, Pk INNOVAARE, CH-5234 Villigen, Switzerland; [Hubbard, Roderick E.] Univ York, York YO10 5DD, N Yorkshire, England; [Hubbard, Roderick E.] Vernalis R&D, Granta Pk, Cambridge CB21 6GB, England; [Nar, Herbert] Boehringer Ingelheim GmbH & Co KG, Birkendorfer Str 65, D-88400 Biberach, Germany		Renaud, JP (通讯作者)，NovAliX, Blvd Sebastien Brant, F-67405 Illkirch Graffenstaden, France.; Renaud, JP (通讯作者)，Univ Strasbourg, Inst Genet & Biol Mol & Cellulaire, CNRS UMR7104, INSERM U964, 1 Rue Laurent Fries,BP10142, F-67404 Illkirch Graffenstaden, France.; Renaud, JP (通讯作者)，RiboStruct, 15 Rue Neuve, F-67540 Ostwald, France.	jpr@novalix-pharma.com; Chun-wa.h.Chung@gsk.com; Helena.Danielson@kemi.uu.se; ursula.egner@bayer.com; michael.hennig@leadxpro.com; roderick.hubbard@york.ac.uk; herbertnar@boehringer-ingelheim.com								205	207											OCT	2016	15	10					679	698		10.1038/nrd.2016.123	http://dx.doi.org/10.1038/nrd.2016.123													
J	Taguchi, K; Iwanczyk, JS				Taguchi, Katsuyuki; Iwanczyk, Jan S.			Vision 20/20: Single photon counting x-ray detectors in medical imaging	MEDICAL PHYSICS				Article									[Taguchi, Katsuyuki] Johns Hopkins Univ, Div Med Imaging Phys, Russell H Morgan Dept Radiol & Radiol Sci, Sch Med, Baltimore, MD 21287 USA; [Iwanczyk, Jan S.] DxRay Inc, Northridge, CA 91324 USA		Taguchi, K (通讯作者)，Johns Hopkins Univ, Div Med Imaging Phys, Russell H Morgan Dept Radiol & Radiol Sci, Sch Med, Baltimore, MD 21287 USA.	ktaguchi@jhmi.edu; jan.iwanczyk@dxray.com								569	579											OCT	2013	40	10							100901	10.1118/1.4820371	http://dx.doi.org/10.1118/1.4820371													
J	Xie, XM; Wang, HW				Xie, Xuemei; Wang, Hongwei			How can open innovation ecosystem modes push product innovation forward? An fsQCA analysis	JOURNAL OF BUSINESS RESEARCH				Article									[Xie, Xuemei; Wang, Hongwei] Shanghai Univ, Sch Management, Shanghai 200444, Peoples R China		Xie, XM; Wang, HW (通讯作者)，Shanghai Univ, Sch Management, Shanghai 200444, Peoples R China.	xxm1030@126.com; whw19920225@163.com								68	72											JAN	2020	108						29	41		10.1016/j.jbusres.2019.10.011	http://dx.doi.org/10.1016/j.jbusres.2019.10.011													
J	Talebpour, A; Mahmassani, HS				Talebpour, Alireza; Mahmassani, Hani S.			Influence of connected and autonomous vehicles on traffic flow stability and throughput	TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES				Article									[Talebpour, Alireza] Texas A&M Univ, Zachry Dept Civil Engn, 3136 TAMU, College Stn, TX 77843 USA; [Mahmassani, Hani S.] Northwestern Univ, Transportat Ctr, 600 Foster St,Chambers Hall, Evanston, IL 60208 USA		Mahmassani, HS (通讯作者)，Northwestern Univ, Transportat Ctr, 600 Foster St,Chambers Hall, Evanston, IL 60208 USA.	masmah@northwestern.edu								602	638											OCT	2016	71						143	163		10.1016/j.trc.2016.07.007	http://dx.doi.org/10.1016/j.trc.2016.07.007													
