PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Dahiya, R; Yogeswaran, N; Liu, FY; Manjakkal, L; Burdet, E; Hayward, V; Jorntell, H				Dahiya, Ravinder; Yogeswaran, Nivasan; Liu, Fengyuan; Manjakkal, Libu; Burdet, Etienne; Hayward, Vincent; Jorntell, Henrik			Large-Area Soft e-Skin: The Challenges Beyond Sensor Designs	PROCEEDINGS OF THE IEEE				Article									[Dahiya, Ravinder; Yogeswaran, Nivasan; Liu, Fengyuan; Manjakkal, Libu] Univ Glasgow, James Watt Sch Engn, Bendable Elect & Sensing Technol BEST Grp, Glasgow G12 8QQ, Lanark, Scotland; [Burdet, Etienne] Imperial Coll London, London SW7 2AZ, England; [Hayward, Vincent] Sorbonne Univ, Inst Intelligent Syst & Robot, F-75006 Paris, France; [Hayward, Vincent] Actronika SAS, F-75019 Paris, France; [Jorntell, Henrik] Lund Univ, Dept Expt Med Sci, S-22100 Lund, Sweden		Dahiya, R (通讯作者)，Univ Glasgow, James Watt Sch Engn, Bendable Elect & Sensing Technol BEST Grp, Glasgow G12 8QQ, Lanark, Scotland.	ravinder.dahiya@glasgow.ac.uk								117	117											OCT	2019	107	10			SI		2016	2033		10.1109/JPROC.2019.2941366	http://dx.doi.org/10.1109/JPROC.2019.2941366													
J	Pla, JJ; Tan, KY; Dehollain, JP; Lim, WH; Morton, JJL; Jamieson, DN; Dzurak, AS; Morello, A				Pla, Jarryd J.; Tan, Kuan Y.; Dehollain, Juan P.; Lim, Wee H.; Morton, John J. L.; Jamieson, David N.; Dzurak, Andrew S.; Morello, Andrea			A single-atom electron spin qubit in silicon	NATURE				Article									[Pla, Jarryd J.; Tan, Kuan Y.; Dehollain, Juan P.; Lim, Wee H.; Dzurak, Andrew S.; Morello, Andrea] Univ New S Wales, Ctr Quantum Computat & Commun Technol, Sch Elect Engn & Telecommun, Sydney, NSW 2052, Australia; [Morton, John J. L.] Univ Oxford, Dept Mat, Oxford OX1 3PH, England; [Jamieson, David N.] Univ Melbourne, Ctr Quantum Computat & Commun Technol, Sch Phys, Melbourne, Vic 3010, Australia		Pla, JJ (通讯作者)，Univ New S Wales, Ctr Quantum Computat & Commun Technol, Sch Elect Engn & Telecommun, Sydney, NSW 2052, Australia.	jarryd@unsw.edu.au; a.morello@unsw.edu.au								563	574											SEP 27	2012	489	7417					541	545		10.1038/nature11449	http://dx.doi.org/10.1038/nature11449													
J	Gu, L; Zeng, DZ; Guo, S; Barnawi, A; Xiang, Y				Gu, Lin; Zeng, Deze; Guo, Song; Barnawi, Ahmed; Xiang, Yong			Cost Efficient Resource Management in Fog Computing Supported Medical Cyber-Physical System	IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING				Article									[Gu, Lin] Huazhong Univ Sci & Technol, Sch Comp Sci & Technol, Serv Comp Technol & Syst Lab, Cluster & Grid Comp Lab, Wuhan 430074, Peoples R China; [Zeng, Deze] China Univ Geosci, Wuhan 430074, Peoples R China; [Guo, Song] Univ Aizu, Aizu Wakamatsu, Fukushima 9658580, Japan; [Barnawi, Ahmed] King Abdulaziz Univ, Jeddah 21589, Saudi Arabia; [Xiang, Yong] Deakin Univ, Sch Informat Technol, Burwood, Vic 3125, Australia		Guo, S (通讯作者)，Univ Aizu, Aizu Wakamatsu, Fukushima 9658580, Japan.	sguo@u-aizu.ac.jp								227	234											JAN-MAR	2017	5	1					108	119		10.1109/TETC.2015.2508382	http://dx.doi.org/10.1109/TETC.2015.2508382													
J	Rizzo, L; Malato, S; Antakyali, D; Beretsou, VG; Dolic, MB; Gernjak, W; Heath, E; Ivancev-Tumbas, I; Karaolia, P; Ribeiro, ARL; Mascolo, G; McArdell, CS; Schaar, H; Silva, AMT; Fatta-Kassinos, D				Rizzo, Luigi; Malato, Sixto; Antakyali, Demet; Beretsou, Vasiliki G.; Dolic, Maja B.; Gernjak, Wolfgang; Heath, Ester; Ivancev-Tumbas, Ivana; Karaolia, Popi; Lado Ribeiro, Ana R.; Mascolo, Giuseppe; McArdell, Christa S.; Schaar, Heidemarie; Silva, Adrian M. T.; Fatta-Kassinos, Despo			Consolidated vs new advanced treatment methods for the removal of contaminants of emerging concern from urban wastewater	SCIENCE OF THE TOTAL ENVIRONMENT				Review									[Rizzo, Luigi] Univ Salerno, Dept Civil Engn, I-84084 Fisciano, SA, Italy; [Malato, Sixto] Plataforma Solar Almeria CIEMAT, Carretera Senes,Km 4, Tabernas 04200, Almeria, Spain; [Antakyali, Demet] NRW, Competence Ctr Micropollutants, D-50823 Cologne, Germany; [Beretsou, Vasiliki G.; Karaolia, Popi; Fatta-Kassinos, Despo] Univ Cyprus, Nireas Int Water Res Ctr, POB 20537, CY-1678 Nicosia, Cyprus; [Beretsou, Vasiliki G.; Fatta-Kassinos, Despo] Univ Cyprus, Sch Engn, Dept Civil & Environm Engn, POB 20537, CY-1678 Nicosia, Cyprus; [Dolic, Maja B.] Univ Belgrade, Vinca Inst Nucl Sci, 522 POB, Belgrade, Serbia; [Gernjak, Wolfgang] Catalan Inst Water Res ICRA, Emili Grahit 101, Girona 17003, Spain; [Gernjak, Wolfgang] Passeig Lluis Co 23, Catalan Inst Res & Adv Studies ICREA, Barcelona 08010, Spain; [Heath, Ester] Jozef Stefan Inst, Jamova 39, Ljubljana 1000, Slovenia; [Heath, Ester] Int Postgrad Sch Jozef Stefan, Jamova 39, Ljubljana 1000, Slovenia; [Ivancev-Tumbas, Ivana] Univ Novi Sad, Fac Sci, Dept Chem Biochem & Environm Protect, Novi Sad 21000, Serbia; [Lado Ribeiro, Ana R.; Silva, Adrian M. T.] Univ Porto, Fac Engn, LSRE, LCM, Rua Dr Roberto Frias S-N, P-4200465 Porto, Portugal; [Mascolo, Giuseppe] CNR, Ist Ric Acque, Via F De Blasio 5, I-70132 Bari, Italy; [McArdell, Christa S.] Swiss Fed Inst Aquat Sci & Technol, Eawag, CH-8600 Dubendorf, Switzerland; [Schaar, Heidemarie] Tech Univ Wien, Inst Water Qual & Resource Management, Karlspl 13-2261, A-1040 Vienna, Austria		Rizzo, L (通讯作者)，Univ Salerno, Dept Civil Engn, I-84084 Fisciano, SA, Italy.; Malato, S (通讯作者)，Plataforma Solar Almeria CIEMAT, Carretera Senes,Km 4, Tabernas 04200, Almeria, Spain.	l.rizzo@unisa.it; sixto.malato@psa.es								327	331											MAR 10	2019	655						986	1008		10.1016/j.scitotenv.2018.11.265	http://dx.doi.org/10.1016/j.scitotenv.2018.11.265													
J	Wang, Q; Zhang, FH; Li, XL				Wang, Qi; Zhang, Fahong; Li, Xuelong			Optimal Clustering Framework for Hyperspectral Band Selection	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING				Article									[Wang, Qi; Zhang, Fahong] Northwestern Polytech Univ, Sch Comp Sci, Xian 710072, Shaanxi, Peoples R China; [Wang, Qi; Zhang, Fahong] Northwestern Polytech Univ, Ctr Opt Imagery Anal & Learning, Xian 710072, Shaanxi, Peoples R China; [Wang, Qi] Northwestern Polytech Univ, Unmanned Syst Res Inst, Xian 710072, Shaanxi, Peoples R China; [Li, Xuelong] Chinese Acad Sci, Xian Inst Opt & Precis Mech, Xian 710119, Shaanxi, Peoples R China; [Li, Xuelong] Univ Chinese Acad Sci, Beijing 100049, Peoples R China		Wang, Q (通讯作者)，Northwestern Polytech Univ, Sch Comp Sci, Xian 710072, Shaanxi, Peoples R China.; Wang, Q (通讯作者)，Northwestern Polytech Univ, Ctr Opt Imagery Anal & Learning, Xian 710072, Shaanxi, Peoples R China.	crabwq@gmail.com; zfh@mail.nwpu.edu.cn; xuelong_li@opt.ac.cn								178	184											OCT	2018	56	10					5910	5922		10.1109/TGRS.2018.2828161	http://dx.doi.org/10.1109/TGRS.2018.2828161													
J	Longo, S; d'Antoni, BM; Bongards, M; Chaparro, A; Cronrath, A; Fatone, F; Lema, JM; Mauricio-Iglesias, M; Soares, A; Hospido, A				Longo, Stefano; d'Antoni, Benedetto Mirko; Bongards, Michael; Chaparro, Antonio; Cronrath, Andreas; Fatone, Francesco; Lema, Juan M.; Mauricio-Iglesias, Miguel; Soares, Ana; Hospido, Almudena			Monitoring and diagnosis of energy consumption in wastewater treatment plants. A state of the art and proposals for improvement	APPLIED ENERGY				Article									[Longo, Stefano; Lema, Juan M.; Mauricio-Iglesias, Miguel; Hospido, Almudena] Univ Santiago de Compostela, Inst Technol, Dept Chem Engn, Santiago De Compostela 15782, Spain; [d'Antoni, Benedetto Mirko; Fatone, Francesco] Univ Verona, Dept Biotechnol, Str Grazie 15, I-37134 Verona, Italy; [Bongards, Michael; Cronrath, Andreas] Cologne Univ Appl Sci, Res Grp GECO C, Steinmullerallee 1, D-51643 Gummersbach, Germany; [Chaparro, Antonio] Wellness Smart Cities, Calle Charles Darwin, Seville 41092, Spain; [Soares, Ana] Cranfield Univ, Cranfield Water Sci Inst, Cranfield MK43 0AL, Beds, England		Hospido, A (通讯作者)，Univ Santiago de Compostela, Inst Technol, Dept Chem Engn, Santiago De Compostela 15782, Spain.	almudena.hospido@usc.es								234	240											OCT 1	2016	179						1251	1268		10.1016/j.apenergy.2016.07.043	http://dx.doi.org/10.1016/j.apenergy.2016.07.043													
J	Taylor, SC; Laperriere, G; Germain, H				Taylor, Sean C.; Laperriere, Genevieve; Germain, Hugo			Droplet Digital PCR versus qPCR for gene expression analysis with low abundant targets: from variable nonsense to publication quality data	SCIENTIFIC REPORTS				Article									[Taylor, Sean C.] Biorad Labs Inc, Hercules, CA 94547 USA; [Laperriere, Genevieve; Germain, Hugo] Univ Quebec Trois Rivieres, Dept Chem Biochem & Phys, 3351 Boul Forges, Trois Rivieres, PQ G9A 5H7, Canada		Taylor, SC (通讯作者)，Biorad Labs Inc, Hercules, CA 94547 USA.	Sean_Taylor@bio-rad.com								253	257											MAY 25	2017	7								2409	10.1038/s41598-017-02217-x	http://dx.doi.org/10.1038/s41598-017-02217-x													
J	Sarkar, B; Ullah, M; Sarkar, M				Sarkar, Biswajit; Ullah, Mehran; Sarkar, Mitali			Environmental and economic sustainability through innovative green products by remanufacturing	JOURNAL OF CLEANER PRODUCTION				Article									[Sarkar, Biswajit] Yonsei Univ, Dept Ind Engn, 50 Yonsei ro,Sinchon dong,Seodaemun gu, Seoul 03722, South Korea; [Sarkar, Biswajit] Saveetha Univ, Saveetha Inst Med & Tech Sci, Saveetha Sch Engn, Dept Comp Sci & Engn, 162,Poonamallee High Rd, Chennai 600077, Tamil Nadu, India; [Ullah, Mehran] Natl Univ Sci & Technol NUST, Coll Elect & Mech Engn CEME, Rawalpindi, Pakistan; [Ullah, Mehran] King Fahd Univ Petr & Minerals, Interdisciplinary Ctr Smart Mobil & Logist, Dhahran, Saudi Arabia; [Sarkar, Mitali] Chung Ang Univ, Informat Technol Res Ctr, Seoul 06974, South Korea		Sarkar, M (通讯作者)，Chung Ang Univ, Informat Technol Res Ctr, Seoul 06974, South Korea.	mitalisarkar.ms@gmail.com								36	36											JAN 15	2022	332								129813	10.1016/j.jclepro.2021.129813	http://dx.doi.org/10.1016/j.jclepro.2021.129813													
J	Tyryshkin, AM; Tojo, S; Morton, JJL; Riemann, H; Abrosimov, NV; Becker, P; Pohl, HJ; Schenkel, T; Thewalt, MLW; Itoh, KM; Lyon, SA				Tyryshkin, Alexei M.; Tojo, Shinichi; Morton, John J. L.; Riemann, Helge; Abrosimov, Nikolai V.; Becker, Peter; Pohl, Hans-Joachim; Schenkel, Thomas; Thewalt, Michael L. W.; Itoh, Kohei M.; Lyon, S. A.			Electron spin coherence exceeding seconds in high-purity silicon	NATURE MATERIALS				Article									[Tyryshkin, Alexei M.; Lyon, S. A.] Princeton Univ, Dept Elect Engn, Princeton, NJ 08544 USA; [Tojo, Shinichi; Itoh, Kohei M.] Keio Univ, Sch Fundamental Sci & Technol, Yokohama, Kanagawa 2238522, Japan; [Morton, John J. L.] Univ Oxford, Dept Mat, Oxford OX1 3PH, England; [Riemann, Helge; Abrosimov, Nikolai V.] Inst Kristallzuchtung, D-12489 Berlin, Germany; [Becker, Peter] Phys Tech Bundesanstalt, D-38116 Braunschweig, Germany; [Pohl, Hans-Joachim] VITCON Projectconsult GMBH, D-07745 Jena, Germany; [Schenkel, Thomas] Univ Calif Berkeley, Lawrence Berkeley Natl Lab, Berkeley, CA 94720 USA; [Thewalt, Michael L. W.] Simon Fraser Univ, Dept Phys, Burnaby, BC V5A 1S6, Canada		Lyon, SA (通讯作者)，Princeton Univ, Dept Elect Engn, Princeton, NJ 08544 USA.	lyon@princeton.edu								489	497											FEB	2012	11	2					143	147		10.1038/NMAT3182	http://dx.doi.org/10.1038/NMAT3182													
J	Lachance-Quirion, D; Tabuchi, Y; Ishino, S; Noguchi, A; Ishikawa, T; Yamazaki, R; Nakamura, Y				Lachance-Quirion, Dany; Tabuchi, Yutaka; Ishino, Seiichiro; Noguchi, Atsushi; Ishikawa, Toyofumi; Yamazaki, Rekishu; Nakamura, Yasunobu			Resolving quanta of collective spin excitations in a millimeter-sized ferromagnet	SCIENCE ADVANCES				Article									[Lachance-Quirion, Dany] Univ Sherbrooke, Inst Quant, Sherbrooke, PQ J1K 2R1, Canada; [Lachance-Quirion, Dany] Univ Sherbrooke, Dept Phys, Sherbrooke, PQ J1K 2R1, Canada; [Lachance-Quirion, Dany; Tabuchi, Yutaka; Ishino, Seiichiro; Noguchi, Atsushi; Ishikawa, Toyofumi; Yamazaki, Rekishu; Nakamura, Yasunobu] Univ Tokyo, Res Ctr Adv Sci & Technol, Meguro Ku, Tokyo 1538904, Japan; [Nakamura, Yasunobu] RIKEN, Ctr Emergent Matter Sci, Wako, Saitama 3510198, Japan		Nakamura, Y (通讯作者)，Univ Tokyo, Res Ctr Adv Sci & Technol, Meguro Ku, Tokyo 1538904, Japan.; Nakamura, Y (通讯作者)，RIKEN, Ctr Emergent Matter Sci, Wako, Saitama 3510198, Japan.	yasunobu@qc.rcast.u-tokyo.ac.jp								150	150											JUL	2017	3	7							e1603150	10.1126/sciadv.1603150	http://dx.doi.org/10.1126/sciadv.1603150													
